q_4_0666	겸직 허가기준의 조건은 무엇인가요?
q_4_1344	배우자가 유산하거나 사산하면 휴가를 받을 수 있나요?
q_4_1345	난임치료시술휴가는 며칠인가요? 남성 교원도 받을 수 있나요?
q_4_1346	교원의 출산휴가 신청 절차와 기간 계산 방법은 어떻게 되나요?
q_4_1347	출산휴가를 하려면 어떻게 해야 하나요?
q_4_1348	출산휴가에 관한 기간과 횟수를 알려주세요.
q_4_1351	만약 주 이내 유·사산한 경우 어떻게 되나요?
q_4_1352	난임치료시술휴가의 구분이 어떻게 되나요?
q_4_1353	난임치료시술휴가를 분류하면 어떻게 되나요?
q_4_1357	출산휴가가 교원의 신분에 미치는 영향은 무엇인가요?
q_4_1360	휴가종류별 실시방법의 3번째 항목은 무엇인가요?
q_4_1361	휴가종류별 실시방법의 5번째 항목은 무엇인가요?
q_4_1362	휴가종류별 실시방법에서 여성교원  (가) 인공수정 시술을 받는 경우: 시술을은 어떤 내용인가요?
q_4_1363	인공수정 시술을 받는 경우: 시술을 할 때마다 총 2일에 대해 자세히 설명해주세요.
q_4_1364	체외수정 시술을 받는 경우  - 동결 보존된 배아를 이에 대해 자세히 설명해주세요.
q_4_1366	특별휴가의 세부 종류별 부여 기준과 일수는 어떻게 되나요?
q_4_1367	출산휴가를 신청할 때 제출해야 할 서류와 확인 사항은 무엇인가요?
q_4_1369	여성보건휴가가 있나요?
q_4_1371	임신 중에 병원가려면 휴가를 써야 하나요?
q_4_1372	임신 중 모성보호시간은 어떻게 사용하나요?
q_4_1373	모성보호시간은 얼마나 사용할 수 있나요?
q_4_1374	체외수정 시술 시 난자채취 포함하면 휴가를 며칠 받나요?
q_4_1375	난임치료시술휴가의 유형을 알려주세요.
q_4_1377	난임치료시술휴가의 신청 절차는 어떻게 되나요?
q_4_1379	난자채취 포함 시 선택가능일에 해당하는 것들은 무엇인가요?
q_4_1380	난자채취 포함 시 선택가능일을 분류하면 어떻게 되나요?
q_4_1381	난자채취 포함 시 선택가능일과 관련하여 금지되는 사항을 알려주세요.
q_4_1382	난자채취 포함 시 선택가능일에서 금지되는 행위는 무엇인가요?
q_4_1385	난자채취 포함 시 선택가능일에서 실무적으로 주의할 점은 무엇인가요?
q_4_1387	모성보호 시간의 자격 요건이 어떻게 되나요?
q_4_1388	모성보호 시간의 조건은 무엇인가요?
q_4_1389	모성보호 시간의 처리 절차가 궁금합니다.
q_4_1393	모성보호 시간 관련 최근 변경사항이 있나요?
q_4_1404	난자채취 포함 시 선택가능일과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_1405	신규 교사가 난자채취 포함 시 선택가능일에 대해 알아야 할 사항은 무엇인가요?
q_4_1406	난자채취 포함 시 선택가능일의 구체적인 적용 사례를 알려주세요.
q_4_1407	모성보호 시간에서 자주 혼동되는 부분은 무엇인가요?
q_4_1408	모성보호 시간에서 가장 중요한 조건은 무엇인가요?
q_4_1416	난임치료시술휴가가 교원의 경력에 어떤 영향을 미치나요?
q_4_1417	어린 자녀가 있으면 육아시간을 받을 수 있나요?
q_4_1418	육아시간은 어떻게 사용하나요?
q_4_1419	육아시간은 누가 사용할 수 있나요?
q_4_1420	육아시간에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_1422	육아시간을 위해 필요한 서류는 무엇인가요?
q_4_1423	교원의 육아시간 사용 요건과 신청 방법은 어떻게 되나요?
q_4_1424	육아시간 기간은 어떻게 계산하나요?
q_4_1432	육아시간의 행정 처리 담당자는 누구인가요?
q_4_1433	육아시간의 구체적인 적용 사례를 알려주세요.
q_4_1436	※ 예) 日 8시간 근무 기준을 한눈에 이해할 수 있도록 설명해주세요.
q_4_1437	육아시간의 사용 기간, 대상 자녀 연령 등 세부 기준은 무엇인가요?
q_4_1439	휴가종류별 실시방법 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_4_1440	육아시간 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_1441	방송대학 출석수업 때문에 휴가가 필요하면 어떻게 하나요?
q_4_1442	방송통신대학 다니면 수업휴가를 받을 수 있나요?
q_4_1443	육아시간 36개월은 어떻게 계산하나요?
q_4_1444	방송대 수업휴가는 어떻게 받나요?
q_4_1446	육아시간에 관한 기간과 횟수를 알려주세요.
q_4_1451	수업휴가는 몇 년까지 가능한가요?
q_4_1452	수업휴가가 제한되는 경우는 언제인가요?
q_4_1454	교원의 수업휴가는 어떤 경우에 부여되며, 기간과 조건은 무엇인가요?
q_4_1455	수업휴가가 승진에 미치는 영향은 무엇인가요?
q_4_1459	육아시간의 특이사항이나 예외 규정이 있나요?
q_4_1460	특별 휴가에서 육아시간에 대한 규정은 무엇인가요?
q_4_1462	육아시간 신청 시 필요한 서류와 행정 처리 절차는 무엇인가요?
q_4_1463	가족돌봄휴가는 어떻게 사용하나요?
q_4_1465	재해를 당하면 휴가를 받을 수 있나요?
q_4_1466	아이 학교 행사 참석하려면 휴가를 써야 하나요?
q_4_1467	재해구호휴가의 기간은 얼마나 되나요?
q_4_1469	재해구호휴가의 효력은 어떻게 되나요?
q_4_1472	따른 대규모 재난으로 피해를 입은 교원으로서 장기간 피해 수습이 필요하다고 학교장이 인정하는 경우 어떻게 처리하나요?
q_4_1474	가족돌봄휴가에 관한 기간과 횟수를 알려주세요.
q_4_1475	가족돌봄휴가를 분류하면 어떻게 되나요?
q_4_1476	가족돌봄휴가는 얼마나 사용할 수 있나요?
q_4_1477	가족돌봄휴가를 사용하려면 어떻게 해야 하나요?
q_4_1479	로 자녀 또는 손자녀를 돌봐야 하는 경우 어떻게 처리하나요?
q_4_1484	신규 교사가 가족돌봄휴가에 대해 알아야 할 사항은 무엇인가요?
q_4_1485	휴가종류별 실시방법의 나번째 항목은 무엇인가요?
q_4_1488	재해구호휴가에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_1489	임신 중 검진받으러 가면 휴가를 받을 수 있나요?
q_4_1490	임신검진휴가는 며칠인가요?
q_4_1491	가족돌봄휴가에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_1492	가족돌봄휴가의 대상자는 누구인가요?
q_4_1494	가족돌봄휴가 기간은 어떻게 계산하나요?
q_4_1495	가족돌봄휴가의 유형을 알려주세요.
q_4_1496	가족돌봄휴가 관련 최근 변경사항이 있나요?
q_4_1498	임신검진휴가의 절차는 어떻게 되나요?
q_4_1499	임신검진휴가를 하려면 어떻게 해야 하나요?
q_4_1501	임신검진휴가는 얼마나 인정되나요?
q_4_1502	임신검진휴가를 분류하면 어떻게 되나요?
q_4_1506	가족돌봄휴가에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_1507	가족돌봄휴가의 전체적인 내용을 요약해주세요.
q_4_1509	임신검진휴가과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_1510	임신검진휴가는 다른 규정과 어떤 관계가 있나요?
q_4_1511	임신검진휴가에서 가장 중요한 조건은 무엇인가요?
q_4_1512	특별 휴가에서 가족돌봄휴가에 대한 규정은 무엇인가요?
q_4_1514	가족돌봄휴가 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_1516	교육활동 침해 피해를 입으면 휴가를 받을 수 있나요?
q_4_1518	교권 침해를 당하면 휴가를 받을 수 있나요?
