q_2_0146	순회교사 복무는 어떻게 관리하나요?
q_5_1615	동일학교에서 근무했던 전(全)기간을 합산하여 6개월 이상 근무한 경우 육아휴직을 허용해야 하는지?의 일수는 어떻게 되나요?
q_5_1616	동일학교에서 근무했던 전(全)기간을 합산하여 6개월 이상 근무한 경우 육아휴직을 허용해야 하는지?의 사유는 어떤 것이 있나요?
q_5_1617	동일학교에서 근무했던 전(全)기간을 합산하여 6개월 이상 근무한 경우 육아휴직을 허용해야 하는지?를 사용하려면 어떻게 해야 하나요?
q_5_1618	전적으로 인하여 종전 학교와 근로관계를 단절하고 새로운 학교와 근로계약을 체결하여 근로한 경우 어떤 절차를 밟아야 하나요?
q_5_1619	Q 동일학교에서 근무했던 전全기간을 합산하여 개월 이상 근무한 경우 육아휴직을 허용해야 하는지?의 일수는 어떻게 되나요?
q_5_1621	육아휴직 기간을 퇴직금 산정 시 근속기간에 포함하여야 하는지?에서 서류 제출 기한은 어떻게 되나요?
q_5_1622	육아휴직 기간을 퇴직금 산정 시 근속기간에 포함하여야 하는지?의 법적 근거가 되는 규정은 무엇인가요?
q_5_1623	육아휴직 기간을 퇴직금 산정 시 근속기간에 포함하여야 하는지?과 관련된 참고 서식이 있나요?
q_5_1624	신규 교사가 Q7. 동일학교에서 근무했던 전(全)기간을 합산하여 6개월 이상 근무한 경우 육아휴직을 허용해야 하는지?에 대해 알아야 할 사항은 무엇인가요?
q_5_1627	기간제교사 육아휴직 시행 안내 관련 규정에서 핵심적으로 알아야 할 사항은 무엇인가요?
q_5_1629	「남녀고용평등법」상 기간제교원의 육아휴직 관련 Q&A 관련하여 Q5. 육아휴직 기간을 퇴직금 산정 시 근속기간에 포함하여야 하는지?의 기준은 무엇인가요?
q_6_0007	교원으로서 승진대상자 신청 자격이 있는 사람은 누구인가요?
q_6_0008	교원으로서 승진대상자의 자격 요건이 어떻게 되나요?
q_6_0011	교원으로서 승진대상자가 적용되지 않는 경우는 언제인가요?
q_6_0012	교원으로서 승진대상자의 단서 조항이 있나요?
q_6_0013	교원으로서 승진대상자에서 실무적으로 주의할 점은 무엇인가요?
q_6_0015	교원으로서 승진대상자가 교원의 신분에 미치는 영향은 무엇인가요?
q_6_0016	교원으로서 승진대상자에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_6_0017	신규 교사가 교원으로서 승진대상자에 대해 알아야 할 사항은 무엇인가요?
q_6_0026	교원으로서 자격연수 대상자를 받을 수 있는 자격이 궁금합니다.
q_6_0027	교원으로서 자격연수 대상자를 하려면 어떤 요건이 필요한가요?
q_6_0028	교원으로서 자격연수 대상자 신청 방법을 알려주세요.
q_6_0030	교원으로서 자격연수 대상자의 일수는 어떻게 되나요?
q_6_0032	교원으로서 자격연수 대상자 관련하여 자주 묻는 질문이 있나요?
q_6_0042	교원으로서 자격연수 대상자 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_6_0043	교원으로서 자격연수 대상자과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_6_0048	평정대상에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_6_0050	교감 자격연수 대상자의 자격 요건은 무엇인가요?
q_6_0051	교육전문직원의 평정 대상자 요건은 어떻게 되나요?
q_6_0090	교감에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_6_0128	처분사유가 된 징계가 교원소청심사위원회의 결정 또는 법원의 판결에 의하여 무효 또는 취소된 경우 어떤 절차를 밟아야 하나요?
q_6_0175	평정에 대한 세부 절차를 알려주세요.
q_6_0430	※ 연구대회 등급의 기준을 충족하려면 어떤 요건이 필요한가요?
q_6_0485	학교폭력 예방 및 해결 등 기여 가산점(1.00점 만점) 신청 자격이 있는 사람은 누구인가요?
q_6_0486	학교폭력 예방 및 해결 등 기여 가산점(1.00점 만점)의 대상자는 누구인가요?
q_6_0487	학교폭력 예방 및 해결 등 기여 가산점(1.00점 만점)는 몇 년까지 가능한가요?
q_6_0489	학교폭력 예방 및 해결 등 기여 가산점(1.00점 만점)가 승진에 미치는 영향은 무엇인가요?
q_6_0491	학교폭력 예방 및 해결 등 기여 가산점(1.00점 만점)에서 실무적으로 주의할 점은 무엇인가요?
q_6_0522	학교폭력 예방 및 해결 등 기여 가산점(1.00점 만점)의 구체적인 적용 사례를 알려주세요.
q_6_0523	학교폭력 예방 및 해결 등 기여 가산점(1.00점 만점)의 법적 근거가 되는 규정은 무엇인가요?
q_6_0531	평정 업무에서 가산점 평정이 중요한 이유는 무엇인가요?
q_6_0533	보직교사 경력에 대한 선택가산점은 어떻게 산정하나요?
q_6_0580	도서·벽지 및 접적지역 지정 기관(학교) 대상학교 현황(도서·벽지 교육진흥법 시행규칙(2021.4.13.))에 관한 규정이 최근에 어떻게 바뀌었나요?
q_6_0581	도서·벽지 및 접적지역 지정 기관(학교) 대상학교 현황(도서·벽지 교육진흥법 시행규칙(2021.4.13.))의 행정 처리 담당자는 누구인가요?
q_6_0582	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)를 받을 수 있는 자격이 궁금합니다.
q_6_0583	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)의 조건은 무엇인가요?
q_6_0585	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)는 얼마나 인정되나요?
q_6_0586	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)는 어떻게 이루어지나요?
q_6_0587	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)의 점수는 어떻게 계산하나요?
q_6_0589	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황 자 현재를 받을 수 있는 자격이 궁금합니다.
q_6_0590	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)을 한눈에 이해할 수 있도록 설명해주세요.
q_6_0591	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)에서 서류 제출 기한은 어떻게 되나요?
q_6_0593	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재) 신청 자격이 있는 사람은 누구인가요?
q_6_0594	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)가 승진에 미치는 영향은 무엇인가요?
q_6_0595	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)하면 어떤 효과가 있나요?
q_6_0596	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재) 관련하여 자주 묻는 질문이 있나요?
q_6_0598	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)에 관한 규정이 최근에 어떻게 바뀌었나요?
q_6_0599	농·어촌 및 공단지역 근무경력 가산점 부여 대상학교 현황(2025. 2. 28.자 현재)의 법적 근거가 되는 규정은 무엇인가요?
q_6_0601	접경지역 중 교육감이 지정하는 학교 근무경력 가산점 부여 대상 현황(2025.02.28.자 현재)의 자격 요건이 어떻게 되나요?
q_6_0602	접경지역 중 교육감이 지정하는 학교 근무경력 가산점 부여 대상 현황(2025.02.28.자 현재)의 조건은 무엇인가요?
q_6_0603	접경지역 중 교육감이 지정하는 학교 근무경력 가산점 부여 대상 현황(2025.02.28.자 현재)의 기준은 무엇인가요?
q_6_0604	접경지역 중 교육감이 지정하는 학교 근무경력 가산점 부여 대상 현황(2025.02.28.자 현재)는 어떻게 이루어지나요?
q_6_0636	정원 특이사항:의 행정 처리 담당자는 누구인가요?
q_6_0637	정원 특이사항:는 다른 규정과 어떤 관계가 있나요?
q_6_0638	정원 특이사항:을 한눈에 이해할 수 있도록 설명해주세요.
q_6_0644	「교사 근무성적 평정 상황표」 작성요령에 대해 구체적으로 설명해주세요.
q_6_0647	「교사 근무성적 평정 상황표」 작성요령의 자격 요건이 어떻게 되나요?
q_6_0649	「교사 근무성적 평정 상황표」 작성요령의 처리 기한이 어떻게 되나요?
q_6_0652	학교에서 「교사 근무성적 평정 상황표」 작성요령 관련 업무를 처리하려면 어떻게 해야 하나요?
q_6_0653	「교사 근무성적 평정 상황표」 작성요령의 법적 근거가 되는 규정은 무엇인가요?
q_6_0654	「교사 근무성적 평정 상황표」 작성요령을 한눈에 이해할 수 있도록 설명해주세요.
q_6_0702	각 학교에서 교감의 근무성적평정 업무 시 유의사항을 확인하려면 어떻게 해야 하나요?
q_6_0710	~⑩)만 기재하고, 총점 이후의 란(⑪~⑬)은 공란에 대해 자세히 설명해주세요.
q_6_0732	근무성적평정조정위원회와 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_6_0739	평정기간 수정 금지 기간은 어떻게 계산하나요?
q_6_0740	외의 기관에 파견은 평정할 수 없음은 얼마나 인정되나요?
q_6_0741	학교에서 A1 관련 업무를 처리하려면 어떻게 해야 하나요?
q_6_0743	겸임 및 파견근무자에 대한 근무성적 평정 방법은?에 대해 구체적으로 설명해주세요.
q_6_0744	겸임 및 파견근무자에 대한 근무성적 평정 방법은?의 개념이 궁금합니다.
q_6_0745	겸임 및 파견근무자에 대한 근무성적 평정 방법은?를 하려면 어떻게 해야 하나요?
q_6_0748	겸임 및 파견근무자에 대한 근무성적 평정 방법은?는 얼마나 인정되나요?
q_6_0754	어떤 경우에 기간을 합산하는 경우 60일을 2개월이 가능한가요?
q_6_0755	겸임 및 파견근무자에 대한 근무성적 평정 방법은?가 교원의 신분에 미치는 영향은 무엇인가요?
q_6_0756	겸임 및 파견근무자에 대한 근무성적 평정 방법은? 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_6_0758	휴직자에 대한 근무성적 평정 방법은?에 대한 전반적인 내용을 요약해주세요.
q_6_0763	근무성적평정 및 다면평가 합산의 절차는 어떻게 되나요?
q_6_0764	근무성적평정확인위원회 심의를 신청할 때 유의사항이 있나요?
q_6_0767	수석교사, 보건교사, 진로진학상담교사, 교과순회전담교사, 전문상담교사의 근무성적평정은?과 관련된 모든 규정을 정리해주세요.
q_6_0769	수석교사, 보건교사, 전문상담교사 등 특수직위 교사의 근무성적평정은 어떻게 하나요?
q_6_0770	복수교감에 대한 학교장의 평정방법은?에서 A6-1에 대한 규정은 무엇인가요?
q_7_0018	조에 따라 공무원의 징계 의결을 요구하는 경우 어떻게 처리하나요?
q_7_0019	그 징계 사유가 다음 각 호의 어느 하나에 해당하는 경우 필요한 서류가 있나요?
q_7_0043	징계부가금의 기간은 얼마나 되나요?
q_7_0222	징계 사건의 우선심사를 신청할 수 있는 경우와 절차는 어떻게 되나요?
q_7_0226	징계등 혐의자는 혐의사실을 모두 인정하는 경우 관련 규정이 어떻게 되나요?
q_7_0386	징계기준을 충족하려면 어떤 요건이 필요한가요?
q_7_0419	징계기준 관련 최근 변경사항이 있나요?
q_7_0428	만약 비위행위가 초과근무수당 또는 여비를 거짓이나 부정한 방법으로 지급받은 경우에 해당하는 경우 어떻게 되나요?
q_7_0435	4. 친절·공정의무 위반의 비위의 정도가 심하고 고의가 있는 경우는 어떻게 되나요?
q_7_0439	교육공무원 징계양정 등에 관한 규칙 [별표]에서 징계기준에 대한 규정은 무엇인가요?
q_7_0467	만약 호가목의 비위와 같은 호 자목의 비위가 경합하는 경우 어떻게 되나요?
q_7_0469	※ 비고의 세부 기준을 설명해주세요.
q_7_0493	경기도교육청 소속 교육공무원 금품 등 수수금지위반 징계양정기준을 충족하려면 어떤 요건이 필요한가요?
q_7_0523	경기도교육감 소속 교육공무원 징계양정(음주운전) 세부기준을 충족하려면 어떻게 해야 하나요?
q_7_0532	강등에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_7_0580	징계기록- (가) 규정 제9조제1항의 징계처분은에 대해 자세히 설명해주세요.
q_7_0581	직위해제기록규정 제9조제2항의 직위해제는 「국가에 대해 자세히 설명해주세요.
q_7_0599	말소제한기간 관련 최근 변경사항이 있나요?
q_7_0701	작성시 이전 징계처분이 말소된 경우 어떤 절차를 밟아야 하나요?
q_7_0704	징계양정결정시의 세부 기준을 설명해주세요.
q_7_0718	말소 기한에 해당하는 사유는 무엇인가요?
q_7_0751	직위해제 사유가 소멸되면 어떻게 되나요?
q_7_0778	처리과정 및 절차에 관한 규정이 최근에 어떻게 바뀌었나요?
q_8_0022	관련법령에서 가장 중요한 조건은 무엇인가요?
q_8_0048	신규채용 교원의 호봉획정 절차와 경력 증명 방법은 어떻게 되나요?
q_8_0070	호봉에 대한 세부 절차를 알려주세요.
q_8_0179	위 대상자가 일반학교 근무 또는 일반학급을 담당하는 경우 관련 규정이 어떻게 되나요?
q_1_2001	국가공무원은 어떻게 구분되며, 교육공무원은 어디에 해당하나요?
q_1_2007	교사 신규채용은 반드시 공개전형으로 해야 하나요? 관련 절차는 어떻게 되나요?
q_1_2014	신규채용 교사가 준비해야 하는 구비서류에는 어떤 것들이 있나요?
q_1_2015	신규교사 임용 절차에서 도교육청, 교육지원청, 학교 각각의 역할은 무엇인가요?
q_1_2016	신규교사 임지지정 내부결재 기안문은 어떤 형식으로 작성하나요?
q_1_2065	도교육청에서 신규교사를 임용하고 교육지원청에 배정하는 처리절차는 어떻게 되나요?
q_1_2066	교육지원청에서 신규임용교사의 임지를 지정하는 처리절차는 구체적으로 어떻게 되나요?
q_1_2067	학교에서 신규임용교사가 부임할 때 처리해야 할 업무는 무엇인가요?
q_1_2069	도교육청에서 교육지원청의 임지지정 보고를 받은 후 어떻게 처리하나요?
q_1_2070	신규교사 임용 시 도교육청에서 임용구비서류를 확인할 때 유의해야 할 사항은 무엇인가요?
