q_3_0979	휴직신청서류는 몇 년까지 가능한가요?
q_4_0425	교원이 사교육업체에서 강의할 수 있나요?
q_4_0426	사교육업체 관련 겸직 가이드라인은 누구에게 적용되나요?
q_4_0427	사교육업체의 범위는 어디까지인가요?
q_4_0444	사교육업체의 범위 및 업무에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_0445	사교육업체의 범위 및 업무를 하려면 어떤 요건이 필요한가요?
q_4_0446	사교육업체의 범위 및 업무에는 어떤 것들이 포함되나요?
q_4_0448	사교육업체의 범위 및 업무에서 주의해야 할 점은 무엇인가요?
q_4_0451	어떤 경우에 학원의 설립·운영 및 과외교습에 관한 법률(이하 학원법)가 가능한가요?
q_4_0458	사교육업체의 범위 및 업무에서 자주 혼동되는 부분은 무엇인가요?
q_4_0459	사교육업체의 범위 및 업무 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_4_0460	사교육업체의 범위 및 업무에 대한 핵심 포인트를 정리해주세요.
q_4_0461	복무에서 「사교육업체 관련 겸직 허가 가이드라인」(2023. 12. 29.)가 중요한 이유는 무엇인가요?
q_4_0465	기간제교원에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_4_0468	교사가 일반 출판사에서 참고서나 문제집을 집필하면 겸직허가를 받아야 하나요?
q_4_0469	교원이 출판사에서 문제집을 저술하고 인세를 받아도 되나요?
q_4_0470	학교교과교습학원에서 일회성 특강을 해도 되나요?
q_4_0471	일반출판사에서 문제풀이 영상을 제작해도 되나요?
q_4_0472	검인정 교과서 출판사에서 문제집을 만들어도 되나요?
q_4_0473	에듀테크 업체에서 컨설팅 활동을 해도 되나요?
q_4_0474	어떤 경우에 단, 사교육업체와 일부 관련성이 있더라도 겸직 목적의 공익성*, 겸직 활동 결과물의 성격을 종합 고려하여, 겸직 허가 기준에 부합하는 경우에 한해 겸직 허가 가능이 가능한가요?
q_4_0475	단, 사교육업체와 일부 관련성이 있더라도 겸직 목적의 공익성*, 겸직 활동 결과물의 성격을 종합 고려하여, 겸직 허가 기준에 부합하는 경우에 한해 겸직 허가 가능 신청 자격이 있는 사람은 누구인가요?
q_4_0478	단, 사교육업체와 일부 관련성이 있더라도 겸직 목적의 공익성*, 겸직 활동 결과물의 성격을 종합 고려하여, 겸직 허가 기준에 부합하는 경우에 한해 겸직 허가 가능에 해당하는 것들은 무엇인가요?
q_4_0479	단, 사교육업체와 일부 관련성이 있더라도 겸직 목적의 공익성*, 겸직 활동 결과물의 성격을 종합 고려하여, 겸직 허가 기준에 부합하는 경우에 한해 겸직 허가 가능에는 어떤 것들이 포함되나요?
q_4_0489	교원이 평생직업교육학원에서 강의하려면 겸직허가를 받아야 하나요?
q_4_0490	교사가 EBS나 대학, 공공기관에서 강의해도 되나요?
q_4_0491	평생직업교육학원에서 강의해도 되나요?
q_4_0492	학원과 무관한 대학에서 강의하려면 어떻게 해야 하나요?
q_4_0493	사교육업체 관련 겸직 시 겸직심사위원회는 필수인가요?
q_4_0494	교원이 겸직을 하려면 어떤 절차를 거쳐야 하나요?
q_4_0495	교원이 대학에서 강의를 할 수 있나요?
q_4_0496	교원이 평생교육학원에서 강의를 할 수 있나요?
q_4_0497	평생직업교육학원을 받을 수 있는 자격이 궁금합니다.
q_4_0498	어떤 경우에 평생직업교육학원이 가능한가요?
q_4_0499	평생직업교육학원의 절차는 어떻게 되나요?
q_4_0500	평생직업교육학원을 하려면 어떻게 해야 하나요?
q_4_0501	평생직업교육학원 기간은 어떻게 계산하나요?
q_4_0502	평생직업교육학원에 관한 기간과 횟수를 알려주세요.
q_4_0515	학원과 관련이 없는 기관 및 업체에 대한 핵심 포인트를 정리해주세요.
q_4_0517	학원과 관련이 없는 기관 및 업체의 행정 처리 담당자는 누구인가요?
q_4_0524	교원의 겸직 허가 절차는 구체적으로 어떻게 진행되나요?
q_4_0526	① 평생직업교육학원에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0528	겸직허가 기간은 얼마나 되나요?
q_4_0529	사교육업체 관련 영리행위를 하면 어떤 징계를 받나요?
q_4_0530	겸직허가 기간은 최대 얼마인가요?
q_4_0531	사교육업체 관련 겸직 위반 시 어떤 처분을 받나요?
q_4_0543	라. 시험문제 유출 등 비위의 비위의 정도가 심하고 고의가 있는 경우는 어떻게 되나요?
q_4_0544	거. 직무상 미공개정보 이용의 비위의 정도가 심하고 고의가 있는 경우는 어떻게 되나요?
q_4_0545	너. 그 밖의 성실의무 위반의 비위의 정도가 심하고 고의가 있는 경우는 어떻게 되나요?
q_4_0546	너. 그 밖의 품위유지의무 위반의 비위의 정도가 심하고 고의가 있는 경우는 어떻게 되나요?
q_4_0551	인터넷 개인 미디어 활동의 정의는 무엇인가요?
q_4_0552	인터넷 개인 미디어 활동 시 준수해야 할 사항은 무엇인가요?
q_4_0553	지침의 목적 및 적용의 조건은 무엇인가요?
q_4_0554	지침의 목적 및 적용의 대상자는 누구인가요?
q_4_0555	지침의 목적 및 적용이 경력평정에 어떻게 반영되나요?
q_4_0558	지침의 목적 및 적용의 양정 기준이 궁금합니다.
q_4_0561	'인터넷 개인 미디어 활동'의 정의가 정확히 어떤 것을 의미하나요?
q_4_0562	'인터넷 개인 미디어 활동'의 정의가 무엇을 뜻하는 건가요?
q_4_0563	'인터넷 개인 미디어 활동'의 정의를 하려면 어떤 요건이 필요한가요?
q_4_0565	'인터넷 개인 미디어 활동'의 정의의 구분이 어떻게 되나요?
q_4_0566	'인터넷 개인 미디어 활동'의 정의에는 어떤 종류가 있나요?
q_4_0570	교원이 인터넷 개인 미디어 활동 시 준수해야 할 복무규정은 무엇인가요?
q_4_0574	교원의 인터넷 개인 미디어 활동과 관련된 징계 사례가 있나요?
q_4_0575	비공개 직무정보가 공개되지 않도록이 제한되는 경우는 언제인가요?
q_4_0577	지침의 목적 및 적용과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0578	지침의 목적 및 적용에서 자주 혼동되는 부분은 무엇인가요?
q_4_0579	학교에서 지침의 목적 및 적용 관련 업무를 처리하려면 어떻게 해야 하나요?
q_4_0580	'인터넷 개인 미디어 활동'의 정의과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0581	'인터넷 개인 미디어 활동'의 정의에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_0584	교원이 유튜브나 블로그 등 개인 미디어 활동을 할 때 주의해야 할 사항은 무엇인가요?
q_4_0587	복무에서 「교원 인터넷 개인 미디어 활동 지침」(2022. 1. 1.)가 중요한 이유는 무엇인가요?
q_4_0589	교원 인터넷 개인 미디어 활동 지침에서 말하는 '인터넷 개인 미디어 활동'이란 무엇인가요?
q_4_0590	'인터넷 개인 미디어 활동'의 정의에서 [ 참고 : 인터넷 개인 미디어 활동 영역 ]에 대한 규정은 무엇인가요?
q_4_0591	교원 인사 업무에서 '인터넷 개인 미디어 활동'의 정의가 실제로 어떻게 적용되나요?
q_4_0592	교원 인사 업무에서 [ 참고 : 인터넷 개인 미디어 활동 영역 ]가 실제로 어떻게 적용되나요?
q_4_0593	교원의 인터넷 개인 미디어 활동이 인사상 불이익이나 징계 사유가 될 수 있나요?
q_4_0594	교사가 근무시간 중에 유튜브 브이로그를 촬영해도 되나요?
q_4_0595	교사가 SNS나 유튜브에서 광고를 받거나 후원을 받아도 되나요?
q_4_0596	교사가 유튜브에 학생이 나오는 영상을 올리려면 어떻게 해야 하나요?
q_4_0597	유튜브에 학생이 나오는 영상을 올리려면 어떻게 해야 하나요?
q_4_0598	근무시간 중 유튜브 브이로그 촬영이 가능한가요?
q_4_0599	인터넷 개인 미디어 활동으로 물품이나 금전을 받고 광고를 할 수 있나요?
q_4_0600	유아·학생이 등장하는 콘텐츠 탑재 시 초상권 동의를 받아야 하나요?
q_4_0601	교원이 인터넷 개인 미디어 활동에서 해서는 안 되는 행위는 구체적으로 무엇인가요?
q_4_0604	교원의 인터넷 미디어 활동에서 정치적 의견 표명이나 영리행위는 금지되나요?
q_4_0605	관련 질의·응답을 하려면 어떻게 해야 하나요?
q_4_0606	관련 질의·응답을 신청할 때 유의사항이 있나요?
q_4_0609	관련 질의·응답에서 금지되는 행위는 무엇인가요?
q_4_0612	겸직 허가 대상이 아닌 인터넷 개인 미디어 활동을 하는 경우 어떤 절차를 밟아야 하나요?
q_4_0614	교원 인터넷 개인 미디어 활동 지침의 주요 내용을 전반적으로 알려주세요.
q_4_0616	교원 인터넷 개인 미디어 활동과 관련된 주요 질의·응답 사례는 어떤 것이 있나요?
q_4_0620	교원이 유튜브 채널을 운영하려면 어떻게 해야 하나요?
q_4_0621	인터넷 개인미디어 활동의 '계속성' 기준은 무엇인가요?
q_4_0622	인터넷 개인 미디어 활동의 겸직허가 대상은 무엇인가요?
q_4_0629	인터넷 개인방송*인 경우를 받을 수 있는 자격이 궁금합니다.
q_4_0630	인터넷 개인방송*인 경우에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_0632	인터넷 개인방송*인 경우의 기간은 얼마나 되나요?
q_4_0633	인터넷 개인방송*인 경우를 분류하면 어떻게 되나요?
q_4_0634	인터넷 개인방송*인 경우에 해당하는 것들은 무엇인가요?
q_4_0637	어떤 경우에 관련 질의·응답이 가능한가요?
q_4_0645	인터넷 개인방송*인 경우과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0646	인터넷 개인방송*인 경우의 전체적인 내용을 요약해주세요.
q_4_0652	교원의 겸직허가와 인터넷 개인 미디어 활동은 어떤 관계가 있나요?
q_4_0653	겸직허가에서 겸직허가 대상에 대한 규정은 무엇인가요?
q_4_0655	관련 질의·응답 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_0656	겸직허가 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_0657	겸직허가 대상의 구체적인 적용 기준과 범위를 설명해주세요.
q_4_0658	교사가 유튜브 활동을 하려면 어떤 절차가 필요한가요?
q_4_0659	교사가 유튜브 같은 개인방송 하려면 겸직허가 받아야 하나요?
q_4_0660	학교에서 겸직심사위원회를 꼭 운영해야 하나요?
q_4_0661	유튜브 활동하려면 겸직심사위원회를 거쳐야 하나요?
q_4_0662	교사가 된 후에도 유튜브를 계속하려면 언제까지 신청해야 하나요?
q_4_0665	교원이 유튜브 활동을 하려면 어떻게 해야 하나요?
