q_1_0780	공무원이 당연퇴직되는 경우는 언제인가요?
q_2_0218	농어촌 순회교원 여비 지급 규정의 주요 포인트를 설명해주세요.
q_2_0219	농어촌 순회교원 여비 지급에서 순회교사 인사기록에 대한 규정은 무엇인가요?
q_2_0220	순회교사의 겸임발령 절차는 어떻게 되나요?
q_2_0221	농어촌 순회교원 여비 지급 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_2_0222	순회교사 인사기록 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_2_0223	순회교사 겸임발령 절차와 관련하여 임용권자의 역할은 무엇인가요?
q_2_0233	순회교사 겸임발령을 NEIS에서 처리하는 첫 단계는?
q_2_0235	순회교사 겸임발령 기안문 상신은 어떻게 하나요?
q_2_0236	기안문 작성은 몇 년까지 가능한가요?
q_2_0237	기안문 작성은 얼마나 인정되나요?
q_2_0238	기안문 작성에 해당하는 것들은 무엇인가요?
q_2_0240	기안문 작성의 기준이 어떻게 되나요?
q_2_0243	기안문 작성에서 가장 중요한 조건은 무엇인가요?
q_2_0244	기안문 작성에 대한 핵심 포인트를 정리해주세요.
q_2_0245	기안문 작성에서 자주 혼동되는 부분은 무엇인가요?
q_2_0246	순회교사 겸임 NEIS 발령처리 방법에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_2_0248	순회교사 겸임 NEIS 발령처리 방법에서 기안문 작성에 대한 규정은 무엇인가요?
q_2_0249	순회교사 겸임발령을 나이스(NEIS)에서 처리하는 방법은 어떻게 되나요?
q_2_0250	교원 인사 업무에서 기안문 작성이 실제로 어떻게 적용되나요?
q_2_0251	기안문 시행 기간은 어떻게 계산하나요?
q_2_0252	기안문 시행의 일수는 어떻게 되나요?
q_2_0253	기안문 시행이 경력평정에 어떻게 반영되나요?
q_2_0255	기안문 시행의 기준이 어떻게 되나요?
q_2_0256	기안문 시행의 원칙은 무엇인가요?
q_2_0258	기안문 상신과 관련된 모든 규정을 정리해주세요.
q_2_0261	순회교사 관련 기안문은 어떻게 작성하고 상신하나요?
q_2_0262	기안문 시행 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_2_0263	겸임자 현황 출력의 실무 적용 시 주의해야 할 점을 알려주세요.
q_2_0264	겸임해제 발령이 인사기록에 반영되는지 확인하는 방법은?
q_2_0265	겸임 종료일을 잘못 입력하면 어떻게 수정하나요?
q_2_0266	기안문 작성은 어떻게 진행되나요?
q_2_0267	기안문 상신의 기준이 어떻게 되나요?
q_2_0268	가 기안문 작성은 어떻게 진행되나요?
q_2_0269	기안문 작성을 잘못 처리하면 어떤 문제가 생기나요?
q_2_0270	기안문 작성이 교원의 신분에 미치는 영향은 무엇인가요?
q_2_0271	기안문 작성 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_2_0272	순회교사 발령해지 관련 규정에서 핵심적으로 알아야 할 사항은 무엇인가요?
q_2_0276	순회교사 발령해지에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_2_0277	기안문 작성이 교원의 경력에 어떤 영향을 미치나요?
q_3_0003	휴직 제도의 목적이 무엇인가요?
q_3_0004	육아휴직은 자녀 몇 살까지 가능한가요?
q_3_0008	육아휴직은 얼마나 할 수 있나요?
q_3_0010	해외 유학을 가려고 하는데 휴직할 수 있나요?
q_3_0011	육아휴직은 얼마나 사용할 수 있나요?
q_3_0012	입양한 자녀도 육아휴직 대상인가요?
q_3_0014	교육청이 지정한 기관에서 연수하려면 휴직할 수 있나요?
q_3_0015	노동조합 전임자가 되면 휴직하나요?
q_3_0016	병가와 질병휴직의 차이는 무엇인가요?
q_3_0018	교감이나 교장도 육아휴직을 할 수 있나요?
q_3_0019	휴직사유 및 휴직기간 기간은 어떻게 계산하나요?
q_3_0020	휴직사유 및 휴직기간은 얼마나 인정되나요?
q_3_0021	휴직사유 및 휴직기간의 원칙은 무엇인가요?
q_3_0022	휴직사유 및 휴직기간 대상자는 어떻게 선발하나요?
q_3_0027	휴직사유 및 휴직기간에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_3_0028	휴직사유 및 휴직기간은 다른 규정과 어떤 관계가 있나요?
q_3_0029	휴직사유 및 휴직기간이 교원의 신분에 미치는 영향은 무엇인가요?
q_3_0030	휴·복직 제도의 개요에 대한 전반적인 내용을 요약해주세요.
q_3_0031	휴·복직 제도의 개요 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_3_0033	부모님을 돌봐야 하는데 휴직이 가능한가요? 가족돌봄휴직 기간은 얼마인가요?
q_3_0034	배우자가 해외로 발령받았는데, 동반휴직이 가능한가요? 기간은 얼마나 되나요?
q_3_0035	휴직 기간이 끝나면 어떻게 복직하나요? 복직 신고 기한이 있나요?
q_3_0044	배우자가 해외 근무하게 되면 휴직할 수 있나요?
q_3_0045	자기개발을 위해 휴직할 수 있나요?
q_3_0046	휴직 중에도 봉급을 받을 수 있나요?
q_3_0047	휴직 목적과 다르게 사용하면 어떻게 되나요?
q_3_0048	질병휴직 중에 완쾌되면 언제 복직해야 하나요?
q_3_0049	「공무원보수규정」 제28조(휴직기간 중의 봉급 감액)의 횟수 제한이 있나요?
q_3_0050	「공무원보수규정」 제28조(휴직기간 중의 봉급 감액)는 얼마나 인정되나요?
q_3_0057	신규 교사가 「공무원보수규정」 제28조(휴직기간 중의 봉급 감액)에 대해 알아야 할 사항은 무엇인가요?
q_3_0060	휴직 및 복직에서 휴직의 효력이 중요한 이유는 무엇인가요?
q_3_0062	휴직의 효력에서 휴직절차에 대한 규정은 무엇인가요?
q_3_0065	휴직의 효력 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_3_0066	휴직절차에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_3_0067	국가공무원법 제73조에서 규정하는 휴직 관련 사항은 무엇인가요?
q_3_0070	공무상 질병으로 휴직하면 일반 질병휴직과 어떻게 다른가요?
q_3_0080	직권휴직의 개념이 궁금합니다.
q_3_0081	직권휴직의 정의가 어떻게 되나요?
q_3_0083	직권휴직의 조건은 무엇인가요?
q_3_0084	직권휴직의 횟수 제한이 있나요?
q_3_0087	에 따른 병역 복무를 위하여 징집 또는 소집된 경우 어떤 절차를 밟아야 하나요?
q_3_0096	육아휴직 기간은 얼마나 되나요?
q_3_0098	첫째와 둘째 자녀 육아휴직을 합쳐서 4년 사용할 수 있나요?
q_3_0099	청원휴직에 해당하려면 어떤 조건을 충족해야 하나요?
