q_3_0100	청원휴직의 조건은 무엇인가요?
q_3_0834	교원 인사 업무에서 타교복직 대상자 인사발령이 실제로 어떻게 적용되나요?
q_3_0835	휴·복직발령 유의사항 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_3_0836	휴직의 기간·연장·재휴직 등의 절차는 어떻게 되나요?
q_3_0837	휴직의 기간·연장·재휴직 등의 처리 기한이 어떻게 되나요?
q_3_0839	휴직의 기간·연장·재휴직 등의 횟수 제한이 있나요?
q_3_0840	휴직의 기간·연장·재휴직 등이 적용되지 않는 경우는 언제인가요?
q_3_0841	휴직의 기간·연장·재휴직 등에서 제외되는 경우는 어떤 경우인가요?
q_3_0844	휴직의 기간·연장·재휴직 등에 관한 규정이 최근에 어떻게 바뀌었나요?
q_3_0846	휴직의 기간·연장·재휴직 등 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_3_0847	Ⅱ 질병, 육아, 가족돌봄 휴·복직 처리 지침에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_3_0849	질병휴직의 구체적인 처리 지침은 어떻게 되나요?
q_3_0851	Ⅱ 질병, 육아, 가족돌봄 휴·복직 처리 지침이 교원의 경력에 어떤 영향을 미치나요?
q_3_0853	휴직사유의 구체적인 적용 기준과 범위를 설명해주세요.
q_3_0854	질병휴직 신청 시 필요한 서류는 무엇인가요?
q_3_0856	질병휴직 관련 의료법상 의료기관의 범위는 어떻게 되나요?
q_3_0857	복직절차의 처리 기한이 어떻게 되나요?
q_3_0858	복직절차에 관한 기간과 횟수를 알려주세요.
q_3_0859	복직절차 기간은 어떻게 계산하나요?
q_3_0860	바 복직절차를 위해 필요한 서류는 무엇인가요?
q_3_0861	휴직신청서류의 전체적인 내용을 요약해주세요.
q_3_0862	휴직신청서류의 행정 처리 담당자는 누구인가요?
q_3_0863	복직절차에 관한 규정이 최근에 어떻게 바뀌었나요?
q_3_0865	복직절차에서 서류 제출 기한은 어떻게 되나요?
q_3_0868	질병휴직 신청서류 접수 시 확인해야 할 사항은 무엇인가요?
q_3_0870	공무상 질병휴직 제도의 운영상 유의 사항 신청 자격이 있는 사람은 누구인가요?
q_3_0873	공무상 질병휴직 제도의 운영상 유의 사항의 기간은 얼마나 되나요?
q_3_0874	공무상 질병휴직 제도의 운영상 유의 사항의 산정 기준은 무엇인가요?
q_3_0875	공무상 질병휴직 제도의 운영상 유의 사항은 어떻게 결정되나요?
q_3_0883	공무상 질병휴직 제도의 운영상 유의 사항에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_3_0885	공무상 질병휴직 제도의 운영상 유의 사항 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_3_0886	휴직 및 복직에서 공무상 질병휴직 제도의 운영상 유의 사항이 중요한 이유는 무엇인가요?
q_3_0889	공무상 질병휴직 제도 운영 시 유의해야 할 사항은 무엇인가요?
q_3_0890	휴직중 공무상 요양승인이 결정된 자에 대한 인사처리 지침의 절차는 어떻게 되나요?
q_3_0891	휴직중 공무상 요양승인이 결정된 자에 대한 인사처리 지침의 처리 절차가 궁금합니다.
q_3_0892	휴직중 공무상 요양승인이 결정된 자에 대한 인사처리 지침의 일수는 어떻게 되나요?
q_3_0893	휴직중 공무상 요양승인이 결정된 자에 대한 인사처리 지침 기간은 어떻게 계산하나요?
q_3_0898	휴직중 공무상 요양승인이 결정된 자에 대한 인사처리 지침에 관한 규정이 최근에 어떻게 바뀌었나요?
q_3_0900	신규 교사가 휴직중 공무상 요양승인이 결정된 자에 대한 인사처리 지침에 대해 알아야 할 사항은 무엇인가요?
q_3_0901	휴직중 공무상 요양승인이 결정된 자에 대한 인사처리 지침 규정의 주요 포인트를 설명해주세요.
q_3_0903	휴직의 요건을 신청할 때 유의사항이 있나요?
q_3_0904	휴직의 요건에 관한 기간과 횟수를 알려주세요.
q_3_0907	휴직의 요건이 교원의 신분에 미치는 영향은 무엇인가요?
q_3_0908	2-1. 육아휴직에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_3_0910	육아휴직을 신청할 수 있는 사유와 조건은 무엇인가요?
q_3_0913	휴직신청서류의 승급 인정은 어떻게 되나요?
q_3_0914	휴직신청서류에서 가장 중요한 조건은 무엇인가요?
q_3_0916	휴직신청서류에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_3_0918	육아휴직수당은 얼마나 받나요?
q_3_0919	육아휴직 중 출산하면 어떻게 하나요?
q_3_0920	복직절차에 해당하려면 어떤 조건을 충족해야 하나요?
q_3_0921	복직절차를 하려면 어떤 요건이 필요한가요?
q_3_0922	복직절차를 신청할 때 유의사항이 있나요?
q_3_0926	육아휴직수당의 조건은 무엇인가요?
q_3_0927	육아휴직수당 신청 자격이 있는 사람은 누구인가요?
q_3_0928	육아휴직수당에 관한 기간과 횟수를 알려주세요.
q_3_0929	육아휴직수당 기간은 어떻게 계산하나요?
q_3_0930	육아휴직수당의 구분이 어떻게 되나요?
q_3_0935	육아휴직수당을 한눈에 이해할 수 있도록 설명해주세요.
q_3_0938	복직절차에 대한 전반적인 내용을 요약해주세요.
q_3_0940	육아휴직에 대한 세부 절차를 알려주세요.
q_3_0942	육아휴직수당의 지급 기준과 금액은 어떻게 되나요?
q_3_0946	쌍둥이를 낳으면 육아휴직을 어떻게 받나요?
q_3_0947	쌍둥이를 낳으면 육아휴직을 6년 사용할 수 있나요?
q_3_0948	공무원 임용 전에 육아휴직을 사용했는데 다시 사용할 수 있나요?
q_3_0949	육아휴직 중 쌍생아를 출산하면 어떻게 해야 하나요?
q_3_0950	공무원 임용 전 육아휴직을 사용했으면 다시 3년을 사용할 수 있나요?
q_3_0960	입양휴직 기간이 어떻게 되나요?
q_3_0961	휴직신청서류의 기간은 얼마나 되나요?
q_3_0962	휴직신청서류는 누가 하나요?
q_3_0963	휴직신청서류의 요건은 무엇인가요?
q_3_0966	복직절차 대상자는 어떻게 선발하나요?
q_3_0970	휴직 및 복직에서 2-2. 입양휴직이 중요한 이유는 무엇인가요?
q_3_0972	입양휴직의 신청 사유와 요건은 무엇인가요?
q_3_0976	육아·입양 휴직 신청 시 행정적으로 확인해야 할 사항은 무엇인가요?
q_3_0977	휴직신청서류의 처리 기한이 어떻게 되나요?
q_3_0978	휴직신청서류 신청 방법을 알려주세요.
